code,system
14A3.00,readv2
14A4.00,readv2
14AH.00,readv2
14AT.00,readv2
322..00,readv2
3222,readv2
322Z.00,readv2
323..00,readv2
3232,readv2
323Z.00,readv2
889A.00,readv2
G30..00,readv2
G30..15,readv2
G30..17,readv2
G301.00,readv2
G301z00,readv2
G304.00,readv2
G305.00,readv2
G306.00,readv2
G307100,readv2
G308.00,readv2
G30B.00,readv2
G30X.00,readv2
G30X000,readv2
G30y.00,readv2
G30yz00,readv2
G30z.00,readv2
G311000,readv2
G311011,readv2
G312.00,readv2
G31y300,readv2
G32..00,readv2
G32..11,readv2
G32..12,readv2
G344.00,readv2
G34y100,readv2
G35..00,readv2
G350.00,readv2
G351.00,readv2
G353.00,readv2
G35X.00,readv2
G36..00,readv2
G360.00,readv2
G361.00,readv2
G362.00,readv2
G38..00,readv2
G380.00,readv2
G381.00,readv2
G383.00,readv2
G384.00,readv2
G38z.00,readv2
Gyu3400,readv2
Gyu3600,readv2
14A5.00,readv2
G33..00,readv2
G331.11,readv2
G33z.00,readv2
G33zz00,readv2
14AA.00,readv2
32B..00,readv2
32B3.00,readv2
32BZ.00,readv2
G3...11,readv2
G33z200,readv2
G5z..00,readv2
14AJ.00,readv2
14AL.00,readv2
1J61.00,readv2
8H2V.00,readv2
G3...00,readv2
G3...13,readv2
G343.00,readv2
G3z..00,readv2
Gyu3.00,readv2
14AW.00,readv2
G31..00,readv2
G311500,readv2
G31y.00,readv2
G31yz00,readv2
Gyu3200,readv2
182A.00,readv2
G33z400,readv2
187..00,readv2
G311.11,readv2
G311.14,readv2
G311200,readv2
G311300,readv2
G330000,readv2
G33z300,readv2
G33z600,readv2
3213111,readv2
3233,readv2
3234,readv2
3235,readv2
3236,readv2
G300.00,readv2
G301000,readv2
G301100,readv2
G302.00,readv2
G303.00,readv2
G307.00,readv2
G307000,readv2
G309.00,readv2
G30y000,readv2
G30y100,readv2
G30y200,readv2
G310.00,readv2
G311.00,readv2
G311.12,readv2
G311z00,readv2
G33z500,readv2
G501.00,readv2
32B2.00,readv2
5543,readv2
5C11.00,readv2
32E4.00,readv2
G311.13,readv2
G311100,readv2
G33z700,readv2
44H3.00,readv2
44H3000,readv2
44HJ.00,readv2
44MH.00,readv2
44p2.00,readv2
5533,readv2
7927500,readv2
7928,readv2
7928.11,readv2
7928000,readv2
7928100,readv2
7928200,readv2
7928300,readv2
7928y00,readv2
7928z00,readv2
7929000,readv2
7929300,readv2
793G.00,readv2
793G300,readv2
793Gy00,readv2
793Gz00,readv2
7A54000,readv2
7A54500,readv2
7A56400,readv2
7A6G100,readv2
7A6H300,readv2
7A6H400,readv2
8L41.00,readv2
8LF..00,readv2
ZV45800,readv2
661M000,readv2
7925100,readv2
7925400,readv2
7926300,readv2
8CMP.00,readv2
662..00,readv2
662..11,readv2
662N.00,readv2
662Z.00,readv2
8I37.00,readv2
9Ob..00,readv2
9Ob0.00,readv2
9Ob1.00,readv2
9Ob2.00,readv2
9Ob6.00,readv2
9Ob8.00,readv2
9Ob9.00,readv2
662K.00,readv2
662K000,readv2
662K100,readv2
662K200,readv2
662Kz00,readv2
662K300,readv2
G311400,readv2
66f..00,readv2
66f1.00,readv2
6A2..00,readv2
6A4..00,readv2
8B3k.00,readv2
792..11,readv2
8L40.00,readv2
7920,readv2
7920.11,readv2
7920000,readv2
7920100,readv2
7920300,readv2
7920y00,readv2
7920z00,readv2
7922,readv2
7922.11,readv2
7922000,readv2
7922100,readv2
7922300,readv2
7922z00,readv2
SP07600,readv2
7920200,readv2
7922200,readv2
7923200,readv2
7924200,readv2
7921,readv2
7921.11,readv2
7921y00,readv2
7921z00,readv2
7926,readv2
7926z00,readv2
792C.00,readv2
792D.00,readv2
792Dz00,readv2
G34..00,readv2
G341100,readv2
G34z.00,readv2
G5...00,readv2
G5yyz00,readv2
G5yz.00,readv2
Gyu3000,readv2
Gyu3300,readv2
Gyu5.00,readv2
Gyu7000,readv2
7921000,readv2
7921100,readv2
7921200,readv2
7921300,readv2
7925,readv2
7925y00,readv2
7925z00,readv2
792B000,readv2
7922y00,readv2
7924y00,readv2
792Cy00,readv2
792Dy00,readv2
G34y.00,readv2
G34yz00,readv2
G3y..00,readv2
G5y..00,readv2
7923,readv2
7923.11,readv2
7923000,readv2
7923100,readv2
7923300,readv2
7923z00,readv2
7924,readv2
7924000,readv2
7924100,readv2
7924z00,readv2
7925.11,readv2
7925000,readv2
7926000,readv2
7925300,readv2
7925311,readv2
7925312,readv2
7926200,readv2
7929100,readv2
7A4B800,readv2
7929111,readv2
8B27.00,readv2
8BGC.00,readv2
7929400,readv2
7929500,readv2
793G000,readv2
793G200,readv2
7929600,readv2
7A54800,readv2
792C000,readv2
792Cz00,readv2
793G100,readv2
G31y000,readv2
G34y000,readv2
7A54700,readv2
7A56000,readv2
7A6S300,readv2
G30..12,readv2
G30..16,readv2
8F9..00,readv2
Z677.00,readv2
ZV57900,readv2
8F90.00,readv2
8F91.00,readv2
8F92.00,readv2
8F93.00,readv2
8H7v.00,readv2
ZL22200,readv2
8I3a.00,readv2
8IEY.00,readv2
8T04.00,readv2
9Ob3.00,readv2
9Ob4.00,readv2
9Ob5.00,readv2
G....12,readv2
G....13,readv2
G30..11,readv2
G30..14,readv2
G30..13,readv2
G363.00,readv2
G364.00,readv2
G365.00,readv2
G310.11,readv2
G31y100,readv2
G31y200,readv2
G330.00,readv2
G330z00,readv2
G332.00,readv2
G340.12,readv2
G33z000,readv2
G33z100,readv2
G340.00,readv2
G34z000,readv2
G39..00,readv2
G340000,readv2
G340100,readv2
G341.00,readv2
G341.11,readv2
G341z00,readv2
G341000,readv2
G574000,readv2
G366.00,readv2
SP00300,readv2
ZV45700,readv2
ZV45K00,readv2
ZV45K11,readv2
ZV45L00,readv2
I20,icd10
I20.1,icd10
I20.9,icd10
I20.0,icd10
I20.8,icd10
I24.8,icd10
I21,icd10
I21.4,icd10
I21.0,icd10
I22.0,icd10
I21.1,icd10
I22.1,icd10
I21.9,icd10
I24.9,icd10
I22,icd10
I22.8,icd10
I22.9,icd10
I23,icd10
I23.0,icd10
I23.3,icd10
I23.1,icd10
I23.2,icd10
I23.4,icd10
I23.5,icd10
I23.6,icd10
I24.0,icd10
I23.8,icd10
I24,icd10
I24.1,icd10
I25,icd10
I25.8,icd10
I25.9,icd10
I25.2,icd10
I25.5,icd10
I25.6,icd10
T82.2,icd10
Z95.5,icd10